env,episode,model,success,steps,reward,buffer_size,history_window,tokens,time
MiniGrid-BlockedUnlockPickup-v0,4,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,3,1,122,3.979456663131714
MiniGrid-BlockedUnlockPickup-v0,0,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,3,2,116,3.7333528995513916
MiniGrid-BlockedUnlockPickup-v0,1,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,3,2,116,3.7207508087158203
MiniGrid-BlockedUnlockPickup-v0,2,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,3,2,112,3.6004953384399414
MiniGrid-BlockedUnlockPickup-v0,3,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,3,2,119,3.854292392730713
MiniGrid-BlockedUnlockPickup-v0,4,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,3,2,122,3.921757936477661
MiniGrid-BlockedUnlockPickup-v0,0,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,3,3,114,3.6733202934265137
MiniGrid-BlockedUnlockPickup-v0,1,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,3,3,117,3.7560808658599854
MiniGrid-BlockedUnlockPickup-v0,2,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,3,3,115,3.6778976917266846
MiniGrid-BlockedUnlockPickup-v0,3,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,3,3,128,4.138819456100464
MiniGrid-BlockedUnlockPickup-v0,4,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,3,3,121,3.879190683364868
MiniGrid-DoorKey-5x5-v0,0,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,2,1,148,4.754797697067261
MiniGrid-DoorKey-5x5-v0,1,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,2,1,150,4.758816242218018
MiniGrid-DoorKey-5x5-v0,2,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,2,1,144,4.552632808685303
MiniGrid-DoorKey-5x5-v0,3,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,2,1,141,4.58630895614624
MiniGrid-DoorKey-5x5-v0,4,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,2,1,145,4.609731197357178
MiniGrid-DoorKey-5x5-v0,0,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,2,2,144,4.546206712722778
MiniGrid-DoorKey-5x5-v0,1,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,2,2,150,4.721600532531738
MiniGrid-DoorKey-5x5-v0,2,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,2,2,147,4.644317626953125
MiniGrid-DoorKey-5x5-v0,3,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,2,2,132,4.186310768127441
