model,env,buffer_size,history_window,success,steps,reward,tokens,time
Qwen/Qwen2.5-3B-Instruct,MiniGrid-BlockedUnlockPickup-v0,2,1,0.0,50.0,0.0,134.2,4.298291206359863
Qwen/Qwen2.5-3B-Instruct,MiniGrid-BlockedUnlockPickup-v0,2,2,0.0,50.0,0.0,137.4,4.363867664337159
Qwen/Qwen2.5-3B-Instruct,MiniGrid-BlockedUnlockPickup-v0,2,3,0.0,50.0,0.0,134.6,4.372272491455078
Qwen/Qwen2.5-3B-Instruct,MiniGrid-BlockedUnlockPickup-v0,3,1,0.0,50.0,0.0,117.0,3.823292112350464
Qwen/Qwen2.5-3B-Instruct,MiniGrid-BlockedUnlockPickup-v0,3,2,0.0,50.0,0.0,117.0,3.7661298751831054
Qwen/Qwen2.5-3B-Instruct,MiniGrid-BlockedUnlockPickup-v0,3,3,0.0,50.0,0.0,119.0,3.825061798095703
Qwen/Qwen2.5-3B-Instruct,MiniGrid-DoorKey-5x5-v0,2,1,0.0,50.0,0.0,145.6,4.6524573802948
Qwen/Qwen2.5-3B-Instruct,MiniGrid-DoorKey-5x5-v0,2,2,0.0,50.0,0.0,142.0,4.49399733543396
Qwen/Qwen2.5-3B-Instruct,MiniGrid-DoorKey-5x5-v0,2,3,0.0,50.0,0.0,146.0,4.656224250793457
Qwen/Qwen2.5-3B-Instruct,MiniGrid-DoorKey-5x5-v0,3,1,0.0,50.0,0.0,120.6,3.9022748470306396
Qwen/Qwen2.5-3B-Instruct,MiniGrid-DoorKey-5x5-v0,3,2,0.0,50.0,0.0,123.0,4.00254111289978
Qwen/Qwen2.5-3B-Instruct,MiniGrid-DoorKey-5x5-v0,3,3,0.0,50.0,0.0,120.6,3.968416452407837
Qwen/Qwen2.5-3B-Instruct,MiniGrid-Empty-8x8-v0,2,1,1.0,24.0,0.915625,52.0,1.7110099792480469
Qwen/Qwen2.5-3B-Instruct,MiniGrid-Empty-8x8-v0,2,2,1.0,24.0,0.915625,52.0,1.7027858257293702
Qwen/Qwen2.5-3B-Instruct,MiniGrid-Empty-8x8-v0,2,3,1.0,24.0,0.915625,52.0,1.7154459476470947
Qwen/Qwen2.5-3B-Instruct,MiniGrid-Empty-8x8-v0,3,1,1.0,24.0,0.915625,52.0,1.7083535194396973
Qwen/Qwen2.5-3B-Instruct,MiniGrid-Empty-8x8-v0,3,2,1.0,24.0,0.915625,52.0,1.6893506050109863
Qwen/Qwen2.5-3B-Instruct,MiniGrid-Empty-8x8-v0,3,3,1.0,24.0,0.915625,52.0,1.6672345638275146
Qwen/Qwen2.5-3B-Instruct,MiniGrid-LavaGapS7-v0,2,1,0.0,50.0,0.0,150.0,5.0584241390228275
Qwen/Qwen2.5-3B-Instruct,MiniGrid-LavaGapS7-v0,2,2,0.0,50.0,0.0,150.0,4.825719547271729
Qwen/Qwen2.5-3B-Instruct,MiniGrid-LavaGapS7-v0,2,3,0.0,50.0,0.0,149.8,4.818036031723023
Qwen/Qwen2.5-3B-Instruct,MiniGrid-LavaGapS7-v0,3,1,0.0,50.0,0.0,150.0,4.825127792358399
Qwen/Qwen2.5-3B-Instruct,MiniGrid-LavaGapS7-v0,3,2,0.0,50.0,0.0,150.0,4.805822372436523
Qwen/Qwen2.5-3B-Instruct,MiniGrid-LavaGapS7-v0,3,3,0.0,50.0,0.0,149.6,4.7916868209838865
Qwen/Qwen2.5-7B-Instruct,MiniGrid-BlockedUnlockPickup-v0,2,1,0.0,50.0,0.0,114.0,3.139470672607422
Qwen/Qwen2.5-7B-Instruct,MiniGrid-BlockedUnlockPickup-v0,2,2,0.0,50.0,0.0,118.6,3.6447582721710203
Qwen/Qwen2.5-7B-Instruct,MiniGrid-BlockedUnlockPickup-v0,2,3,0.0,50.0,0.0,118.4,3.743796730041504
Qwen/Qwen2.5-7B-Instruct,MiniGrid-BlockedUnlockPickup-v0,3,1,0.0,50.0,0.0,100.4,2.806895875930786
Qwen/Qwen2.5-7B-Instruct,MiniGrid-BlockedUnlockPickup-v0,3,2,0.0,50.0,0.0,101.0,3.238414192199707
Qwen/Qwen2.5-7B-Instruct,MiniGrid-BlockedUnlockPickup-v0,3,3,0.0,50.0,0.0,101.6,3.397032880783081
Qwen/Qwen2.5-7B-Instruct,MiniGrid-DoorKey-5x5-v0,2,1,0.0,50.0,0.0,149.4,4.02063250541687
Qwen/Qwen2.5-7B-Instruct,MiniGrid-DoorKey-5x5-v0,2,2,0.0,50.0,0.0,143.0,4.026156711578369
Qwen/Qwen2.5-7B-Instruct,MiniGrid-DoorKey-5x5-v0,2,3,0.2,46.4,0.17696,115.0,3.506279230117798
Qwen/Qwen2.5-7B-Instruct,MiniGrid-DoorKey-5x5-v0,3,1,0.0,50.0,0.0,101.0,2.8307846546173097
Qwen/Qwen2.5-7B-Instruct,MiniGrid-DoorKey-5x5-v0,3,2,0.0,50.0,0.0,101.4,3.0348268508911134
Qwen/Qwen2.5-7B-Instruct,MiniGrid-DoorKey-5x5-v0,3,3,0.0,50.0,0.0,105.8,3.3055274963378904
Qwen/Qwen2.5-7B-Instruct,MiniGrid-Empty-8x8-v0,2,1,1.0,13.0,0.954296875,29.0,0.7720235347747803
Qwen/Qwen2.5-7B-Instruct,MiniGrid-Empty-8x8-v0,2,2,0.4,42.4,0.35640625000000004,95.2,2.549129343032837
Qwen/Qwen2.5-7B-Instruct,MiniGrid-Empty-8x8-v0,2,3,1.0,13.0,0.954296875,29.0,0.7838973999023438
Qwen/Qwen2.5-7B-Instruct,MiniGrid-Empty-8x8-v0,3,1,1.0,13.0,0.954296875,29.0,0.7654472827911377
Qwen/Qwen2.5-7B-Instruct,MiniGrid-Empty-8x8-v0,3,2,0.8,32.0,0.72265625,70.8,1.899595069885254
Qwen/Qwen2.5-7B-Instruct,MiniGrid-Empty-8x8-v0,3,3,1.0,13.0,0.954296875,29.0,0.7895709991455078
Qwen/Qwen2.5-7B-Instruct,MiniGrid-LavaGapS7-v0,2,1,0.2,42.2,0.18989795918367347,106.0,2.890978288650513
Qwen/Qwen2.5-7B-Instruct,MiniGrid-LavaGapS7-v0,2,2,0.0,43.4,0.0,109.2,3.30190691947937
Qwen/Qwen2.5-7B-Instruct,MiniGrid-LavaGapS7-v0,2,3,0.2,36.4,0.18989795918367347,90.8,2.787300682067871
Qwen/Qwen2.5-7B-Instruct,MiniGrid-LavaGapS7-v0,3,1,0.2,42.2,0.18989795918367347,103.8,2.925509548187256
Qwen/Qwen2.5-7B-Instruct,MiniGrid-LavaGapS7-v0,3,2,0.0,49.8,0.0,121.2,3.772994565963745
Qwen/Qwen2.5-7B-Instruct,MiniGrid-LavaGapS7-v0,3,3,0.4,32.0,0.3733673469387755,79.2,2.4569804668426514
