env,episode,policy,use_history,history_window,max_steps,model,mock,success,steps,reward,tokens,time,resolved_env,n_episodes_setting
MiniGrid-BlockedUnlockPickup-v0,7,BoT_history_k3,True,3,50,Qwen/Qwen2.5-7B-Instruct,False,False,50,0.0,1010,28.25087594985962,MiniGrid-BlockedUnlockPickup-v0,10
MiniGrid-BlockedUnlockPickup-v0,8,BoT_history_k3,True,3,50,Qwen/Qwen2.5-7B-Instruct,False,False,50,0.0,1133,31.70354700088501,MiniGrid-BlockedUnlockPickup-v0,10
MiniGrid-BlockedUnlockPickup-v0,9,BoT_history_k3,True,3,50,Qwen/Qwen2.5-7B-Instruct,False,False,50,0.0,1271,35.54105281829834,MiniGrid-BlockedUnlockPickup-v0,10
MiniGrid-BlockedUnlockPickup-v0,0,BoT_history_k3,True,3,100,Qwen/Qwen2.5-7B-Instruct,False,False,100,0.0,278,7.728153228759766,MiniGrid-BlockedUnlockPickup-v0,10
MiniGrid-BlockedUnlockPickup-v0,1,BoT_history_k3,True,3,100,Qwen/Qwen2.5-7B-Instruct,False,False,100,0.0,481,13.42502760887146,MiniGrid-BlockedUnlockPickup-v0,10
MiniGrid-BlockedUnlockPickup-v0,2,BoT_history_k3,True,3,100,Qwen/Qwen2.5-7B-Instruct,False,False,100,0.0,757,21.10261821746826,MiniGrid-BlockedUnlockPickup-v0,10
MiniGrid-BlockedUnlockPickup-v0,3,BoT_history_k3,True,3,100,Qwen/Qwen2.5-7B-Instruct,False,False,100,0.0,966,26.9838764667511,MiniGrid-BlockedUnlockPickup-v0,10
MiniGrid-BlockedUnlockPickup-v0,4,BoT_history_k3,True,3,100,Qwen/Qwen2.5-7B-Instruct,False,False,100,0.0,1207,33.68987727165222,MiniGrid-BlockedUnlockPickup-v0,10
MiniGrid-BlockedUnlockPickup-v0,5,BoT_history_k3,True,3,100,Qwen/Qwen2.5-7B-Instruct,False,False,100,0.0,1486,41.416478395462036,MiniGrid-BlockedUnlockPickup-v0,10
MiniGrid-BlockedUnlockPickup-v0,6,BoT_history_k3,True,3,100,Qwen/Qwen2.5-7B-Instruct,False,False,100,0.0,1725,48.05450773239136,MiniGrid-BlockedUnlockPickup-v0,10
MiniGrid-BlockedUnlockPickup-v0,7,BoT_history_k3,True,3,100,Qwen/Qwen2.5-7B-Instruct,False,False,100,0.0,2025,56.33356785774231,MiniGrid-BlockedUnlockPickup-v0,10
MiniGrid-BlockedUnlockPickup-v0,8,BoT_history_k3,True,3,100,Qwen/Qwen2.5-7B-Instruct,False,False,100,0.0,2229,62.134535789489746,MiniGrid-BlockedUnlockPickup-v0,10
MiniGrid-BlockedUnlockPickup-v0,9,BoT_history_k3,True,3,100,Qwen/Qwen2.5-7B-Instruct,False,False,100,0.0,2505,69.83086514472961,MiniGrid-BlockedUnlockPickup-v0,10
MiniGrid-DoorKey-5x5-v0,0,BoT_history_k3,True,3,50,Qwen/Qwen2.5-7B-Instruct,False,False,50,0.0,103,2.9106996059417725,MiniGrid-DoorKey-5x5-v0,10
MiniGrid-DoorKey-5x5-v0,1,BoT_history_k3,True,3,50,Qwen/Qwen2.5-7B-Instruct,False,False,50,0.0,228,6.371499300003052,MiniGrid-DoorKey-5x5-v0,10
MiniGrid-DoorKey-5x5-v0,2,BoT_history_k3,True,3,50,Qwen/Qwen2.5-7B-Instruct,False,False,50,0.0,354,9.912562847137451,MiniGrid-DoorKey-5x5-v0,10
MiniGrid-DoorKey-5x5-v0,3,BoT_history_k3,True,3,50,Qwen/Qwen2.5-7B-Instruct,False,False,50,0.0,480,13.482896089553833,MiniGrid-DoorKey-5x5-v0,10
MiniGrid-DoorKey-5x5-v0,4,BoT_history_k3,True,3,50,Qwen/Qwen2.5-7B-Instruct,False,False,50,0.0,606,17.04337787628174,MiniGrid-DoorKey-5x5-v0,10
MiniGrid-DoorKey-5x5-v0,5,BoT_history_k3,True,3,50,Qwen/Qwen2.5-7B-Instruct,False,False,50,0.0,756,21.243889093399048,MiniGrid-DoorKey-5x5-v0,10
MiniGrid-DoorKey-5x5-v0,6,BoT_history_k3,True,3,50,Qwen/Qwen2.5-7B-Instruct,False,False,50,0.0,906,25.382051944732666,MiniGrid-DoorKey-5x5-v0,10
MiniGrid-DoorKey-5x5-v0,7,BoT_history_k3,True,3,50,Qwen/Qwen2.5-7B-Instruct,False,False,50,0.0,1056,29.54477834701538,MiniGrid-DoorKey-5x5-v0,10
MiniGrid-DoorKey-5x5-v0,8,BoT_history_k3,True,3,50,Qwen/Qwen2.5-7B-Instruct,False,False,50,0.0,1180,33.096912145614624,MiniGrid-DoorKey-5x5-v0,10
MiniGrid-DoorKey-5x5-v0,9,BoT_history_k3,True,3,50,Qwen/Qwen2.5-7B-Instruct,False,False,50,0.0,1330,37.29296898841858,MiniGrid-DoorKey-5x5-v0,10
MiniGrid-DoorKey-5x5-v0,0,BoT_history_k3,True,3,100,Qwen/Qwen2.5-7B-Instruct,False,False,100,0.0,203,5.752210855484009,MiniGrid-DoorKey-5x5-v0,10
MiniGrid-DoorKey-5x5-v0,1,BoT_history_k3,True,3,100,Qwen/Qwen2.5-7B-Instruct,False,False,100,0.0,406,11.572834491729736,MiniGrid-DoorKey-5x5-v0,10
