env,episode,model,success,steps,reward,buffer_size,history_window,tokens,time
MiniGrid-LavaGapS7-v0,0,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,2,0,241,21.405452251434326
MiniGrid-LavaGapS7-v0,1,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,2,0,292,21.587037324905396
MiniGrid-LavaGapS7-v0,2,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,2,0,300,21.908432006835938
MiniGrid-LavaGapS7-v0,3,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,2,0,286,21.456827402114868
MiniGrid-LavaGapS7-v0,4,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,2,0,300,21.90787386894226
MiniGrid-LavaGapS7-v0,5,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,2,0,267,20.896530628204346
MiniGrid-LavaGapS7-v0,6,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,2,0,249,20.27205467224121
MiniGrid-LavaGapS7-v0,7,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,2,0,280,21.34770393371582
MiniGrid-LavaGapS7-v0,8,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,2,0,300,22.040489435195923
MiniGrid-LavaGapS7-v0,9,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,2,0,300,22.044583082199097
MiniGrid-LavaGapS7-v0,0,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,2,1,300,9.407354354858398
MiniGrid-LavaGapS7-v0,1,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,2,1,300,9.447237014770508
MiniGrid-LavaGapS7-v0,2,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,2,1,300,9.382169008255005
MiniGrid-LavaGapS7-v0,3,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,2,1,300,9.387281656265259
MiniGrid-LavaGapS7-v0,4,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,2,1,300,9.375099658966064
MiniGrid-LavaGapS7-v0,5,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,2,1,300,9.38202452659607
MiniGrid-LavaGapS7-v0,6,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,2,1,300,9.383402347564697
MiniGrid-LavaGapS7-v0,7,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,2,1,300,9.453961610794067
MiniGrid-LavaGapS7-v0,8,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,2,1,300,9.429516077041626
MiniGrid-LavaGapS7-v0,9,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,2,1,300,9.420986413955688
MiniGrid-LavaGapS7-v0,0,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,2,2,300,9.405254602432251
MiniGrid-LavaGapS7-v0,1,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,2,2,300,9.40387773513794
MiniGrid-LavaGapS7-v0,2,Qwen/Qwen2.5-3B-Instruct,False,100,0.0,2,2,300,9.3849036693573
