env,episode,policy,use_history,history_window,max_steps,model,mock,success,steps,reward,tokens,time,resolved_env,n_episodes_setting
MiniGrid-BlockedUnlockPickup-v0,7,BoT_history_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,False,50,0.0,903,50.725526571273804,MiniGrid-BlockedUnlockPickup-v0,10
MiniGrid-BlockedUnlockPickup-v0,8,BoT_history_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,False,50,0.0,1016,56.98395848274231,MiniGrid-BlockedUnlockPickup-v0,10
MiniGrid-BlockedUnlockPickup-v0,9,BoT_history_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,False,50,0.0,1133,63.418325662612915,MiniGrid-BlockedUnlockPickup-v0,10
MiniGrid-BlockedUnlockPickup-v0,0,BoT_history_k3,True,3,100,Qwen/Qwen2.5-3B-Instruct,False,False,100,0.0,225,12.50938081741333,MiniGrid-BlockedUnlockPickup-v0,10
MiniGrid-BlockedUnlockPickup-v0,1,BoT_history_k3,True,3,100,Qwen/Qwen2.5-3B-Instruct,False,False,100,0.0,462,25.55696940422058,MiniGrid-BlockedUnlockPickup-v0,10
MiniGrid-BlockedUnlockPickup-v0,2,BoT_history_k3,True,3,100,Qwen/Qwen2.5-3B-Instruct,False,False,100,0.0,665,36.736231088638306,MiniGrid-BlockedUnlockPickup-v0,10
MiniGrid-BlockedUnlockPickup-v0,3,BoT_history_k3,True,3,100,Qwen/Qwen2.5-3B-Instruct,False,False,100,0.0,903,49.906036376953125,MiniGrid-BlockedUnlockPickup-v0,10
MiniGrid-BlockedUnlockPickup-v0,4,BoT_history_k3,True,3,100,Qwen/Qwen2.5-3B-Instruct,False,False,100,0.0,1110,61.27502989768982,MiniGrid-BlockedUnlockPickup-v0,10
MiniGrid-BlockedUnlockPickup-v0,5,BoT_history_k3,True,3,100,Qwen/Qwen2.5-3B-Instruct,False,False,100,0.0,1345,74.1583411693573,MiniGrid-BlockedUnlockPickup-v0,10
MiniGrid-BlockedUnlockPickup-v0,6,BoT_history_k3,True,3,100,Qwen/Qwen2.5-3B-Instruct,False,False,100,0.0,1584,87.33218026161194,MiniGrid-BlockedUnlockPickup-v0,10
MiniGrid-BlockedUnlockPickup-v0,7,BoT_history_k3,True,3,100,Qwen/Qwen2.5-3B-Instruct,False,False,100,0.0,1820,100.32832050323486,MiniGrid-BlockedUnlockPickup-v0,10
MiniGrid-BlockedUnlockPickup-v0,8,BoT_history_k3,True,3,100,Qwen/Qwen2.5-3B-Instruct,False,False,100,0.0,2056,113.36278557777405,MiniGrid-BlockedUnlockPickup-v0,10
MiniGrid-BlockedUnlockPickup-v0,9,BoT_history_k3,True,3,100,Qwen/Qwen2.5-3B-Instruct,False,False,100,0.0,2292,126.4645848274231,MiniGrid-BlockedUnlockPickup-v0,10
MiniGrid-DoorKey-5x5-v0,0,BoT_history_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,False,50,0.0,125,6.958312749862671,MiniGrid-DoorKey-5x5-v0,10
MiniGrid-DoorKey-5x5-v0,1,BoT_history_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,False,50,0.0,250,13.881141424179077,MiniGrid-DoorKey-5x5-v0,10
MiniGrid-DoorKey-5x5-v0,2,BoT_history_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,False,50,0.0,374,20.712114810943604,MiniGrid-DoorKey-5x5-v0,10
MiniGrid-DoorKey-5x5-v0,3,BoT_history_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,False,50,0.0,498,27.742956399917603,MiniGrid-DoorKey-5x5-v0,10
MiniGrid-DoorKey-5x5-v0,4,BoT_history_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,False,50,0.0,622,34.93995904922485,MiniGrid-DoorKey-5x5-v0,10
MiniGrid-DoorKey-5x5-v0,5,BoT_history_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,False,50,0.0,747,41.94660043716431,MiniGrid-DoorKey-5x5-v0,10
MiniGrid-DoorKey-5x5-v0,6,BoT_history_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,False,50,0.0,871,48.76075983047485,MiniGrid-DoorKey-5x5-v0,10
MiniGrid-DoorKey-5x5-v0,7,BoT_history_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,False,50,0.0,996,55.63942790031433,MiniGrid-DoorKey-5x5-v0,10
MiniGrid-DoorKey-5x5-v0,8,BoT_history_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,False,50,0.0,1124,62.698030948638916,MiniGrid-DoorKey-5x5-v0,10
MiniGrid-DoorKey-5x5-v0,9,BoT_history_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,False,50,0.0,1248,69.52774930000305,MiniGrid-DoorKey-5x5-v0,10
MiniGrid-DoorKey-5x5-v0,0,BoT_history_k3,True,3,100,Qwen/Qwen2.5-3B-Instruct,False,False,100,0.0,249,13.815066576004028,MiniGrid-DoorKey-5x5-v0,10
MiniGrid-DoorKey-5x5-v0,1,BoT_history_k3,True,3,100,Qwen/Qwen2.5-3B-Instruct,False,False,100,0.0,498,27.574851274490356,MiniGrid-DoorKey-5x5-v0,10
MiniGrid-DoorKey-5x5-v0,2,BoT_history_k3,True,3,100,Qwen/Qwen2.5-3B-Instruct,False,False,100,0.0,748,41.547131061553955,MiniGrid-DoorKey-5x5-v0,10
MiniGrid-DoorKey-5x5-v0,3,BoT_history_k3,True,3,100,Qwen/Qwen2.5-3B-Instruct,False,False,100,0.0,996,55.201876163482666,MiniGrid-DoorKey-5x5-v0,10
MiniGrid-DoorKey-5x5-v0,4,BoT_history_k3,True,3,100,Qwen/Qwen2.5-3B-Instruct,False,False,100,0.0,1245,68.97330856323242,MiniGrid-DoorKey-5x5-v0,10
MiniGrid-DoorKey-5x5-v0,5,BoT_history_k3,True,3,100,Qwen/Qwen2.5-3B-Instruct,False,False,100,0.0,1495,83.04010820388794,MiniGrid-DoorKey-5x5-v0,10
MiniGrid-DoorKey-5x5-v0,6,BoT_history_k3,True,3,100,Qwen/Qwen2.5-3B-Instruct,False,False,100,0.0,1743,96.98042726516724,MiniGrid-DoorKey-5x5-v0,10
MiniGrid-DoorKey-5x5-v0,7,BoT_history_k3,True,3,100,Qwen/Qwen2.5-3B-Instruct,False,False,100,0.0,1993,110.95150947570801,MiniGrid-DoorKey-5x5-v0,10
MiniGrid-DoorKey-5x5-v0,8,BoT_history_k3,True,3,100,Qwen/Qwen2.5-3B-Instruct,False,False,100,0.0,2242,124.87436485290527,MiniGrid-DoorKey-5x5-v0,10
MiniGrid-DoorKey-5x5-v0,9,BoT_history_k3,True,3,100,Qwen/Qwen2.5-3B-Instruct,False,False,100,0.0,2492,138.74814343452454,MiniGrid-DoorKey-5x5-v0,10
MiniGrid-Empty-8x8-v0,0,BoT_history_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,True,24,0.915625,52,3.2034354209899902,MiniGrid-Empty-8x8-v0,10
MiniGrid-Empty-8x8-v0,1,BoT_history_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,True,24,0.915625,104,6.0558998584747314,MiniGrid-Empty-8x8-v0,10
MiniGrid-Empty-8x8-v0,2,BoT_history_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,True,24,0.915625,156,8.918740272521973,MiniGrid-Empty-8x8-v0,10
