env,episode,policy,use_history,history_window,max_steps,model,mock,buffer_size,success,steps,reward,tokens,time,resolved_env,n_episodes_setting
MiniGrid-BlockedUnlockPickup-v0,1,BoT_buf2_k1,True,1,50,Qwen/Qwen2.5-3B-Instruct,False,2,False,50,0.0,127,4.377888441085815,MiniGrid-BlockedUnlockPickup-v0,5
MiniGrid-BlockedUnlockPickup-v0,2,BoT_buf2_k1,True,1,50,Qwen/Qwen2.5-3B-Instruct,False,2,False,50,0.0,134,4.59428596496582,MiniGrid-BlockedUnlockPickup-v0,5
MiniGrid-BlockedUnlockPickup-v0,3,BoT_buf2_k1,True,1,50,Qwen/Qwen2.5-3B-Instruct,False,2,False,50,0.0,127,4.365641355514526,MiniGrid-BlockedUnlockPickup-v0,5
MiniGrid-BlockedUnlockPickup-v0,4,BoT_buf2_k1,True,1,50,Qwen/Qwen2.5-3B-Instruct,False,2,False,50,0.0,132,4.504648447036743,MiniGrid-BlockedUnlockPickup-v0,5
MiniGrid-BlockedUnlockPickup-v0,0,BoT_buf2_k2,True,2,50,Qwen/Qwen2.5-3B-Instruct,False,2,False,50,0.0,140,4.764434337615967,MiniGrid-BlockedUnlockPickup-v0,5
MiniGrid-BlockedUnlockPickup-v0,1,BoT_buf2_k2,True,2,50,Qwen/Qwen2.5-3B-Instruct,False,2,False,50,0.0,147,5.0272376537323,MiniGrid-BlockedUnlockPickup-v0,5
MiniGrid-BlockedUnlockPickup-v0,2,BoT_buf2_k2,True,2,50,Qwen/Qwen2.5-3B-Instruct,False,2,False,50,0.0,125,4.301766633987427,MiniGrid-BlockedUnlockPickup-v0,5
MiniGrid-BlockedUnlockPickup-v0,3,BoT_buf2_k2,True,2,50,Qwen/Qwen2.5-3B-Instruct,False,2,False,50,0.0,150,5.082504510879517,MiniGrid-BlockedUnlockPickup-v0,5
MiniGrid-BlockedUnlockPickup-v0,4,BoT_buf2_k2,True,2,50,Qwen/Qwen2.5-3B-Instruct,False,2,False,50,0.0,125,4.291695594787598,MiniGrid-BlockedUnlockPickup-v0,5
MiniGrid-BlockedUnlockPickup-v0,0,BoT_buf2_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,2,False,50,0.0,150,5.1520373821258545,MiniGrid-BlockedUnlockPickup-v0,5
MiniGrid-BlockedUnlockPickup-v0,1,BoT_buf2_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,2,False,50,0.0,150,5.036109209060669,MiniGrid-BlockedUnlockPickup-v0,5
MiniGrid-BlockedUnlockPickup-v0,2,BoT_buf2_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,2,False,50,0.0,128,4.382705211639404,MiniGrid-BlockedUnlockPickup-v0,5
MiniGrid-BlockedUnlockPickup-v0,3,BoT_buf2_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,2,False,50,0.0,133,4.529723644256592,MiniGrid-BlockedUnlockPickup-v0,5
MiniGrid-BlockedUnlockPickup-v0,4,BoT_buf2_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,2,False,50,0.0,127,4.434966087341309,MiniGrid-BlockedUnlockPickup-v0,5
MiniGrid-BlockedUnlockPickup-v0,0,BoT_buf3_k1,True,1,50,Qwen/Qwen2.5-3B-Instruct,False,3,False,50,0.0,104,3.564342737197876,MiniGrid-BlockedUnlockPickup-v0,5
MiniGrid-BlockedUnlockPickup-v0,1,BoT_buf3_k1,True,1,50,Qwen/Qwen2.5-3B-Instruct,False,3,False,50,0.0,125,4.296560287475586,MiniGrid-BlockedUnlockPickup-v0,5
MiniGrid-BlockedUnlockPickup-v0,2,BoT_buf3_k1,True,1,50,Qwen/Qwen2.5-3B-Instruct,False,3,False,50,0.0,132,4.48397421836853,MiniGrid-BlockedUnlockPickup-v0,5
MiniGrid-BlockedUnlockPickup-v0,3,BoT_buf3_k1,True,1,50,Qwen/Qwen2.5-3B-Instruct,False,3,False,50,0.0,125,4.425097227096558,MiniGrid-BlockedUnlockPickup-v0,5
MiniGrid-BlockedUnlockPickup-v0,4,BoT_buf3_k1,True,1,50,Qwen/Qwen2.5-3B-Instruct,False,3,False,50,0.0,124,4.475297927856445,MiniGrid-BlockedUnlockPickup-v0,5
MiniGrid-BlockedUnlockPickup-v0,0,BoT_buf3_k2,True,2,50,Qwen/Qwen2.5-3B-Instruct,False,3,False,50,0.0,119,4.351555585861206,MiniGrid-BlockedUnlockPickup-v0,5
